alpha,q_hat,coverage,selective_risk,bound,bound_holds,n_answered,tool,backend
0.28,0.0031587728143980106,0.6,0.1,0.46666666666666673,True,90,attntrace,llama3.2-3b
0.29,0.003161239580044316,0.6,0.1,0.48333333333333334,True,90,attntrace,llama3.2-3b
0.3,0.00316721591904449,0.5933333333333334,0.10112359550561797,0.5056179775280898,True,89,attntrace,llama3.2-3b
0.31,0.0031685001934723305,0.5933333333333334,0.10112359550561797,0.5224719101123595,True,89,attntrace,llama3.2-3b
0.32,0.0032068125814056167,0.5733333333333334,0.10465116279069768,0.5581395348837209,True,86,attntrace,llama3.2-3b
0.33,0.0032073905411264883,0.5733333333333334,0.10465116279069768,0.5755813953488372,True,86,attntrace,llama3.2-3b
0.34,0.0032371521193647027,0.56,0.10714285714285714,0.6071428571428571,True,84,attntrace,llama3.2-3b
0.35,0.003239746052228535,0.5533333333333333,0.10843373493975904,0.6325301204819277,True,83,attntrace,llama3.2-3b
0.36,0.0032437806571047607,0.5533333333333333,0.10843373493975904,0.6506024096385542,True,83,attntrace,llama3.2-3b
0.37,0.0032939217317934063,0.5266666666666666,0.11392405063291139,0.7025316455696203,True,79,attntrace,llama3.2-3b
0.38,0.0033411869797139214,0.5,0.12,0.76,True,75,attntrace,llama3.2-3b
0.39,0.0033533096235866347,0.5,0.12,0.78,True,75,attntrace,llama3.2-3b
0.4,0.003354335290060697,0.49333333333333335,0.12162162162162163,0.8108108108108109,True,74,attntrace,llama3.2-3b
0.41,0.003358944976103625,0.49333333333333335,0.12162162162162163,0.831081081081081,True,74,attntrace,llama3.2-3b
0.42,0.003360366848452637,0.49333333333333335,0.12162162162162163,0.8513513513513513,True,74,attntrace,llama3.2-3b
0.43,0.003380375142864228,0.47333333333333333,0.1267605633802817,0.9084507042253521,True,71,attntrace,llama3.2-3b
0.44,0.003410662116948515,0.44666666666666666,0.11940298507462686,0.9850746268656717,True,67,attntrace,llama3.2-3b
0.45,0.0034223442696210025,0.43333333333333335,0.12307692307692308,1.0384615384615385,True,65,attntrace,llama3.2-3b
0.46,0.0034339102265687703,0.42,0.1111111111111111,1.0952380952380953,True,63,attntrace,llama3.2-3b
0.47,0.0034391508014364673,0.42,0.1111111111111111,1.119047619047619,True,63,attntrace,llama3.2-3b
0.48,0.0034672328204448737,0.41333333333333333,0.11290322580645161,1.161290322580645,True,62,attntrace,llama3.2-3b
0.49,0.0034689222146490855,0.41333333333333333,0.11290322580645161,1.185483870967742,True,62,attntrace,llama3.2-3b
0.5,0.003473542529779176,0.4,0.11666666666666667,1.25,True,60,attntrace,llama3.2-3b
0.01,0.0005021730345163948,0.9933333333333333,0.19463087248322147,0.010067114093959733,False,149,attntrace,qwen2.5-3b
0.02,0.004356730941005729,0.9466666666666667,0.15492957746478872,0.02112676056338028,False,142,attntrace,qwen2.5-3b
0.03,0.005143033555493905,0.8933333333333333,0.11194029850746269,0.033582089552238806,False,134,attntrace,qwen2.5-3b
0.04,0.005219523111979166,0.8733333333333333,0.09923664122137404,0.04580152671755725,False,131,attntrace,qwen2.5-3b
0.05,0.005344302867117345,0.86,0.10077519379844961,0.058139534883720936,False,129,attntrace,qwen2.5-3b
0.06,0.0054493102461400655,0.8466666666666667,0.09448818897637795,0.07086614173228346,False,127,attntrace,qwen2.5-3b
0.07,0.005505503197081196,0.8466666666666667,0.09448818897637795,0.08267716535433071,False,127,attntrace,qwen2.5-3b
0.08,0.005531395578549967,0.8333333333333334,0.096,0.096,True,125,attntrace,qwen2.5-3b
0.09,0.005613899257566248,0.8266666666666667,0.08870967741935484,0.10887096774193548,True,124,attntrace,qwen2.5-3b
0.1,0.005721740843728184,0.8066666666666666,0.0743801652892562,0.12396694214876035,True,121,attntrace,qwen2.5-3b
0.11,0.005746804719540076,0.8066666666666666,0.0743801652892562,0.13636363636363638,True,121,attntrace,qwen2.5-3b
0.12,0.005863444041460752,0.76,0.06140350877192982,0.15789473684210525,True,114,attntrace,qwen2.5-3b
0.13,0.005933874307877639,0.7466666666666667,0.0625,0.17410714285714285,True,112,attntrace,qwen2.5-3b
0.14,0.00598526008737584,0.72,0.06481481481481481,0.19444444444444448,True,108,attntrace,qwen2.5-3b
0.15,0.0060112507470573,0.7066666666666667,0.0660377358490566,0.2122641509433962,True,106,attntrace,qwen2.5-3b
0.16,0.006022643903270364,0.7066666666666667,0.0660377358490566,0.22641509433962265,True,106,attntrace,qwen2.5-3b
0.17,0.006024844912636993,0.7066666666666667,0.0660377358490566,0.2405660377358491,True,106,attntrace,qwen2.5-3b
0.18,0.00604250475705143,0.7,0.05714285714285714,0.2571428571428572,True,105,attntrace,qwen2.5-3b
0.19,0.00607220576896977,0.7,0.05714285714285714,0.27142857142857146,True,105,attntrace,qwen2.5-3b
0.2,0.006123387919436408,0.6866666666666666,0.05825242718446602,0.29126213592233013,True,103,attntrace,qwen2.5-3b
0.21,0.006137392814987553,0.68,0.058823529411764705,0.30882352941176466,True,102,attntrace,qwen2.5-3b
0.22,0.006153157486708141,0.6733333333333333,0.0594059405940594,0.32673267326732675,True,101,attntrace,qwen2.5-3b
0.23,0.006182352727692988,0.6666666666666666,0.05,0.34500000000000003,True,100,attntrace,qwen2.5-3b
0.24,0.006200202439989274,0.66,0.050505050505050504,0.3636363636363636,True,99,attntrace,qwen2.5-3b
0.25,0.006215704050624655,0.6533333333333333,0.05102040816326531,0.3826530612244898,True,98,attntrace,qwen2.5-3b
0.26,0.006267848616052006,0.64,0.052083333333333336,0.40625,True,96,attntrace,qwen2.5-3b
0.27,0.0062746221725768474,0.64,0.052083333333333336,0.421875,True,96,attntrace,qwen2.5-3b
0.28,0.006276580247819632,0.64,0.052083333333333336,0.43750000000000006,True,96,attntrace,qwen2.5-3b
0.29,0.006317560993401068,0.6266666666666667,0.05319148936170213,0.46276595744680843,True,94,attntrace,qwen2.5-3b
0.3,0.006356400694906503,0.6133333333333333,0.05434782608695652,0.4891304347826087,True,92,attntrace,qwen2.5-3b
0.31,0.006392875184806493,0.6066666666666667,0.054945054945054944,0.510989010989011,True,91,attntrace,qwen2.5-3b
0.32,0.006407868349924684,0.6066666666666667,0.054945054945054944,0.5274725274725275,True,91,attntrace,qwen2.5-3b
0.33,0.00640926488603537,0.6066666666666667,0.054945054945054944,0.5439560439560439,True,91,attntrace,qwen2.5-3b
0.34,0.006413144265444806,0.6066666666666667,0.054945054945054944,0.5604395604395604,True,91,attntrace,qwen2.5-3b
0.35,0.006420673167502338,0.6066666666666667,0.054945054945054944,0.5769230769230769,True,91,attntrace,qwen2.5-3b
0.36,0.006475808900884457,0.6,0.05555555555555555,0.6,True,90,attntrace,qwen2.5-3b
0.37,0.0065022555494366535,0.6,0.05555555555555555,0.6166666666666667,True,90,attntrace,qwen2.5-3b
0.38,0.006511150242394616,0.6,0.05555555555555555,0.6333333333333334,True,90,attntrace,qwen2.5-3b
0.39,0.00653496761328708,0.5933333333333334,0.056179775280898875,0.6573033707865168,True,89,attntrace,qwen2.5-3b
0.4,0.006543556790954122,0.5866666666666667,0.045454545454545456,0.6818181818181819,True,88,attntrace,qwen2.5-3b
0.41,0.006579862142513905,0.5866666666666667,0.045454545454545456,0.6988636363636364,True,88,attntrace,qwen2.5-3b
0.42,0.006604248578137254,0.5866666666666667,0.045454545454545456,0.7159090909090908,True,88,attntrace,qwen2.5-3b
0.43,0.006611551557268415,0.5866666666666667,0.045454545454545456,0.7329545454545454,True,88,attntrace,qwen2.5-3b
0.44,0.006625930784729781,0.5866666666666667,0.045454545454545456,0.75,True,88,attntrace,qwen2.5-3b
0.45,0.006658274230236808,0.5733333333333334,0.046511627906976744,0.7848837209302325,True,86,attntrace,qwen2.5-3b
0.46,0.006664209057587189,0.5733333333333334,0.046511627906976744,0.8023255813953488,True,86,attntrace,qwen2.5-3b
0.47,0.006677373304652671,0.56,0.047619047619047616,0.8392857142857142,True,84,attntrace,qwen2.5-3b
0.48,0.006690543144941329,0.56,0.047619047619047616,0.857142857142857,True,84,attntrace,qwen2.5-3b
0.49,0.006697610737039493,0.56,0.047619047619047616,0.8749999999999999,True,84,attntrace,qwen2.5-3b
0.5,0.006710827139277871,0.5533333333333333,0.04819277108433735,0.9036144578313253,True,83,attntrace,qwen2.5-3b
0.01,0.9105759788432081,0.86,0.11627906976744186,0.011627906976744186,False,43,ragorigin,llama3.2-3b
0.02,0.9105759788432081,0.86,0.11627906976744186,0.023255813953488372,False,43,ragorigin,llama3.2-3b
0.03,0.9105759788432081,0.86,0.11627906976744186,0.03488372093023256,False,43,ragorigin,llama3.2-3b
0.04,0.9105759788432081,0.86,0.11627906976744186,0.046511627906976744,False,43,ragorigin,llama3.2-3b
0.05,0.9122738497834345,0.86,0.11627906976744186,0.058139534883720936,False,43,ragorigin,llama3.2-3b
0.06,0.9122738497834345,0.86,0.11627906976744186,0.06976744186046512,False,43,ragorigin,llama3.2-3b
0.07,0.9918474570399837,0.8,0.05,0.08750000000000001,True,40,ragorigin,llama3.2-3b
0.08,0.9918474570399837,0.8,0.05,0.09999999999999999,True,40,ragorigin,llama3.2-3b
0.09,0.9918474570399837,0.8,0.05,0.11249999999999999,True,40,ragorigin,llama3.2-3b
0.1,1.001730676382305,0.78,0.05128205128205128,0.12820512820512822,True,39,ragorigin,llama3.2-3b
0.11,1.001730676382305,0.78,0.05128205128205128,0.14102564102564102,True,39,ragorigin,llama3.2-3b
0.12,1.0149501646124448,0.76,0.02631578947368421,0.15789473684210525,True,38,ragorigin,llama3.2-3b
0.13,1.0149501646124448,0.76,0.02631578947368421,0.17105263157894737,True,38,ragorigin,llama3.2-3b
0.14,1.088205364603021,0.7,0.0,0.20000000000000004,True,35,ragorigin,llama3.2-3b
0.15,1.088205364603021,0.7,0.0,0.2142857142857143,True,35,ragorigin,llama3.2-3b
0.16,1.088205364603021,0.7,0.0,0.2285714285714286,True,35,ragorigin,llama3.2-3b
0.17,1.1055412004174445,0.7,0.0,0.24285714285714288,True,35,ragorigin,llama3.2-3b
0.18,1.1055412004174445,0.7,0.0,0.2571428571428572,True,35,ragorigin,llama3.2-3b
0.19,1.1558349482467218,0.68,0.0,0.27941176470588236,True,34,ragorigin,llama3.2-3b
0.2,1.1558349482467218,0.68,0.0,0.29411764705882354,True,34,ragorigin,llama3.2-3b
0.21,1.1760907219472925,0.64,0.0,0.328125,True,32,ragorigin,llama3.2-3b
0.22,1.1760907219472925,0.64,0.0,0.34375,True,32,ragorigin,llama3.2-3b
0.23,1.1760907219472925,0.64,0.0,0.359375,True,32,ragorigin,llama3.2-3b
0.24,1.185940524822309,0.64,0.0,0.375,True,32,ragorigin,llama3.2-3b
0.25,1.185940524822309,0.64,0.0,0.390625,True,32,ragorigin,llama3.2-3b
0.26,1.20949236337175,0.62,0.0,0.41935483870967744,True,31,ragorigin,llama3.2-3b
0.27,1.20949236337175,0.62,0.0,0.435483870967742,True,31,ragorigin,llama3.2-3b
0.28,1.225200306744144,0.62,0.0,0.4516129032258065,True,31,ragorigin,llama3.2-3b
0.29,1.225200306744144,0.62,0.0,0.46774193548387094,True,31,ragorigin,llama3.2-3b
0.3,1.225200306744144,0.62,0.0,0.48387096774193544,True,31,ragorigin,llama3.2-3b
0.31,1.248880164405007,0.6,0.0,0.5166666666666667,True,30,ragorigin,llama3.2-3b
0.32,1.248880164405007,0.6,0.0,0.5333333333333333,True,30,ragorigin,llama3.2-3b
0.33,1.2643113802733978,0.6,0.0,0.55,True,30,ragorigin,llama3.2-3b
0.34,1.2643113802733978,0.6,0.0,0.5666666666666668,True,30,ragorigin,llama3.2-3b
0.35,1.2672206929274772,0.6,0.0,0.5833333333333334,True,30,ragorigin,llama3.2-3b
0.36,1.2672206929274772,0.6,0.0,0.6,True,30,ragorigin,llama3.2-3b
0.37,1.2672206929274772,0.6,0.0,0.6166666666666667,True,30,ragorigin,llama3.2-3b
0.38,1.2746218235313194,0.6,0.0,0.6333333333333334,True,30,ragorigin,llama3.2-3b
0.39,1.2746218235313194,0.6,0.0,0.65,True,30,ragorigin,llama3.2-3b
0.4,1.2834803088772295,0.6,0.0,0.6666666666666667,True,30,ragorigin,llama3.2-3b
0.41,1.2834803088772295,0.6,0.0,0.6833333333333333,True,30,ragorigin,llama3.2-3b
0.42,1.305200573605499,0.58,0.0,0.7241379310344828,True,29,ragorigin,llama3.2-3b
0.43,1.305200573605499,0.58,0.0,0.7413793103448276,True,29,ragorigin,llama3.2-3b
0.44,1.305200573605499,0.58,0.0,0.7586206896551725,True,29,ragorigin,llama3.2-3b
0.45,1.3120925512088246,0.58,0.0,0.7758620689655173,True,29,ragorigin,llama3.2-3b
0.46,1.3120925512088246,0.58,0.0,0.7931034482758622,True,29,ragorigin,llama3.2-3b
0.47,1.3295457003748916,0.54,0.0,0.8703703703703702,True,27,ragorigin,llama3.2-3b
0.48,1.3295457003748916,0.54,0.0,0.8888888888888888,True,27,ragorigin,llama3.2-3b
0.49,1.352159999690439,0.52,0.0,0.9423076923076923,True,26,ragorigin,llama3.2-3b
0.5,1.352159999690439,0.52,0.0,0.9615384615384615,True,26,ragorigin,llama3.2-3b
